"idpago","importe","iva","total","reserva_id","created_at","updated_at","created_by","updated_by","fecha","comentario","forma_pago","n_comprobante","n_factura","verificado","fecha_ingreso_pago","tipo_factura","lugar"
"35","100","21","121","9",NULL,"1553293444",NULL,"4","1551150000",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"36","15700",NULL,NULL,"18","1551638147","1552802704","1","1","1551063600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"37","2000",NULL,NULL,"19","1551640162","1552802769","1","1","1551495600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"38","3750",NULL,NULL,"22","1551642483","1552804064","1","1","1551495600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"39","12000",NULL,"9000","12","1551643069","1555735250","1","1","1551322800",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"40","5850",NULL,NULL,"23","1551643736","1552803880","1","1","1551495600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"41","3000",NULL,NULL,"25","1551666482","1552803704","1","1","1551322800",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"42","4400",NULL,NULL,"25","1551667416","1552803704","1","1","1551409200",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"43","2000",NULL,NULL,"26","1551667916","1552803437","1","1","1551322800",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"44","5940",NULL,NULL,"27","1551668612","1552803952","1","1","1551582000",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"45","3300",NULL,NULL,"38","1551677822","1554408105","1","1","1551409200","TRANSFERENCIA",NULL,NULL,NULL,"0",NULL,NULL,NULL
"46","4950",NULL,NULL,"44","1552805795","1557441226","1","1","1552705200","EFECTIVO",NULL,NULL,NULL,"0",NULL,NULL,NULL
"47","6000",NULL,NULL,"50","1552863957","1553534931","1","1","1552791600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"48","3600",NULL,NULL,"52","1553212560","1554663890","1","1","1553137200",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"50","3400",NULL,NULL,"56","1553543484","1554663561","1","1","1553223600","TARJETA",NULL,NULL,NULL,"0",NULL,NULL,NULL
"51","6000",NULL,NULL,"56","1553543484","1554663561","1","1","1553310000","EFECTIVO",NULL,NULL,NULL,"0",NULL,NULL,NULL
"52","1400",NULL,NULL,"57","1553545165","1554663431","1","1","1553310000",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"53","1700",NULL,NULL,"58","1553546094","1554663359","1","1","1553223600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"54","15300",NULL,NULL,"47","1554216848","1554216848","1","1","1553655600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"55","8500",NULL,NULL,"63","1554219393","1554663268","1","1","1553914800",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"56","1780",NULL,NULL,"64","1554220167","1554663188","1","1","1553914800",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"57","4200",NULL,NULL,"65","1554221137","1554663122","1","1","1553828400",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"58","1500",NULL,NULL,"66","1554222453","1554663023","1","1","1553655600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"59","3000",NULL,NULL,"38","1554227274","1554408105","1","1","1553828400","EFECTIVO",NULL,NULL,NULL,"0",NULL,NULL,NULL
"60","3850",NULL,NULL,"70","1554230487","1554662826","1","1","1553655600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"62","8600",NULL,NULL,"73","1554407399","1554408205","1","1","1554001200",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"64","8400",NULL,NULL,"72","1554555696","1554555696","1","1","1554001200",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"65","17500",NULL,NULL,"60","1554660010","1555729588","1","1","1554087600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"66","10000",NULL,NULL,"77","1554817336","1554817488","1","1","1554087600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"67","1400",NULL,NULL,"85","1554933311","1554933311","1","1","1547002800",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"68","5300",NULL,NULL,"100","1555681168","1555681168","1","1","1553223600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"69","9000",NULL,NULL,"89","1555715156","1555715156","1","1","1555642800",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"70","3509",NULL,NULL,"83","1555719315","1555731350","1","1","1554951600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"71","25000",NULL,NULL,"102","1555728844","1556481646","1","1","1555470000",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"73","4356",NULL,NULL,"86","1555731684","1555731684","1","1","1554951600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"75","1500",NULL,NULL,"105","1555733412","1555733412","1","1","1554519600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"76","7040",NULL,NULL,"97","1555734187","1556481512","1","1","1555556400",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"77","7200",NULL,NULL,"98","1555734276","1556842765","1","1","1555383600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"78","2600",NULL,NULL,"98","1556842765","1556842765","1","1","1555815600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"79","7000",NULL,NULL,"113","1557280854","1557280854","1","1","1557111600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"80","4500",NULL,NULL,"114","1557282972","1557282972","1","1","1557198000",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"81","6600",NULL,NULL,"115","1557283624","1557286783","1","1","1556852400",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"82","1700",NULL,NULL,"116","1557284296","1557284296","1","1","1556420400",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"84","2600",NULL,NULL,"118","1557285127","1557285127","1","1","1556679600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"85","2750",NULL,NULL,"120","1557286721","1557286856","1","1","1556679600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"86","5151",NULL,NULL,"112","1557354383","1557354383","1","1","1557198000",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"87","3800",NULL,NULL,"123","1557357221","1557357221","1","1","1557198000",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"88","1900",NULL,NULL,"125","1557439793","1557439793","1","1","1554260400","EFECTIVO",NULL,NULL,NULL,"0",NULL,NULL,NULL
"89","200",NULL,NULL,"125","1557439793","1557439793","1","1","1554260400","TARJETA",NULL,NULL,NULL,"0",NULL,NULL,NULL
"90","3400",NULL,NULL,"59","1557440287","1557440287","1","1","1554087600",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"91","6250",NULL,NULL,"126","1557440922","1557440922","1","1","1554087600","EFECTIVO",NULL,NULL,NULL,"0",NULL,NULL,NULL
"92","320",NULL,NULL,"44","1557441226","1557441226","1","1","1555383600","EFECTIVO",NULL,NULL,NULL,"0",NULL,NULL,NULL
"93","6700",NULL,NULL,"127","1557447109","1557447109","1","1","1555729200","EFECTIVO",NULL,NULL,NULL,"0",NULL,NULL,NULL
"94","3300",NULL,NULL,"78","1557447965","1557447965","1","1","1554778800","TARJETA",NULL,NULL,NULL,"0",NULL,NULL,NULL
"95",NULL,NULL,NULL,"128","1557616209","1557616209","1","1","1557370800",,NULL,NULL,NULL,"0",NULL,NULL,NULL
"96","100.2",NULL,NULL,"163","1566253625","1567031710","4","1","1566183600","OK","1","654321","123456","1","1566961200",NULL,NULL
"97",NULL,NULL,NULL,"170","1571496688","1677586634","6","1",NULL,,"1",,,"1",NULL,NULL,NULL
"98","10000",NULL,NULL,"181","1581090768","1582296035","6","6","1580958000",,"0",,,"0",NULL,NULL,NULL
"99","10000",NULL,NULL,"190","1582295067","1582295067","6","6","1580785200",,"3",,,"0",NULL,NULL,NULL
"100","13000",NULL,NULL,"190","1582295067","1582295067","6","6","1581649200",,"0",,,"0",NULL,NULL,NULL
"101","6200",NULL,NULL,"181","1582296035","1582296035","6","6","1581649200",,"0",,,"0",NULL,NULL,NULL
"102","5000",NULL,NULL,"196","1582379626","1582379626","6","6","1581908400",,"0",,,"0",NULL,NULL,NULL
"103","2400",NULL,NULL,"197","1582380200","1582380200","6","6",NULL,,"1",,"115","0",NULL,NULL,NULL
"104","6000",NULL,NULL,"198","1582381317","1582381317","6","6","1581908400",,"1",,,"0",NULL,NULL,NULL
"105","8100",NULL,NULL,"182","1582381387","1582381387","6","6","1581908400",,"0",,,"0",NULL,NULL,NULL
"106","9000",NULL,NULL,"200","1582381916","1582381916","6","6","1581303600",,"1",,"1080","0",NULL,NULL,NULL
"107","2000",NULL,NULL,"200","1582381916","1582381916","6","6","1581303600",,"0",,,"0",NULL,NULL,NULL
"108","3300",NULL,NULL,"202","1582383115","1582383115","6","6","1581994800",,"0",,,"0",NULL,NULL,NULL
"109","8100",NULL,NULL,"203","1582383581","1582383581","6","6","1582081200",,"1",,"1081","0",NULL,NULL,NULL
"110","21600",NULL,NULL,"180","1582383939","1582383939","6","6","1581390000",,"1",,,"0",NULL,NULL,NULL
"111","5600",NULL,NULL,"204","1582384594","1582384594","6","6","1581649200",,"1",,,"0",NULL,NULL,NULL
"112","18900",NULL,NULL,"205","1582385278","1583269474","6","1","1581908400",,"0",,,"0",NULL,"0",NULL
"113","20000",NULL,NULL,"206","1582385794","1582989995","6","6","1582167600",,"0",,,"0",NULL,"0",NULL
"114","10000",NULL,NULL,"206","1582385794","1582989995","6","6","1580785200",,"0",,,"0",NULL,"0",NULL
"115","18000",NULL,NULL,"206","1582385794","1582989995","6","6","1576724400",,"0",,,"0",NULL,"0",NULL
"116","15000",NULL,NULL,"206","1582385794","1582989995","6","6","1578538800",,"0",,,"0",NULL,"0",NULL
