"idtarifa","tipo","kilometros","diaria","hora","semana","mes","km","comentario","temporada","clase","reduccion_parcial","reduccion_total"
"370","0","200","65000","6500","455000","1950000","700",,"1","9","8000","0"
"417","0","200","110000","15000","770000","3300000","500",,"2","8","0","0"
"469","0","200","105000","10500","735000","2940000","700",,"0","6","15000",NULL
"485","0","200","76000","7600","532000","2280000","600",,"2","0","10000",NULL
"486","0","800","79500","7900","556500","2385000","600",,"2","0","10000",NULL
"487","0","200","85000","8500","595000","2550000","700",,"2","1","10000",NULL
"488","0","800","89000","8900","623000","2670000","700",,"2","1","10000",NULL
"489","0","200","90000","9000","630000","2700000","700",,"2","3","19000",NULL
"490","0","800","95000","9500","665000","2850000","700",,"2","3","10000",NULL
"491","0","200","95000","9500","665000","2850000","700",,"2","4","10000",NULL
"492","0","800","99000","9900","693000","2970000","700",,"2","4","10000",NULL
"493","0","200","105000","10500","735000","3150000","700",,"2","5","15000",NULL
"494","0","800","105000","10500","735000","3150000","700",,"0","5","15000",NULL
"496","0","800","110000","11000","770000","3300000","300",,"0","6","20000",NULL
"500","0","200","69000","6900","483000","2070000","600",,"0","0","10000",NULL
"501","0","800","72500","7250","507500","2175000","600",,"0","0","10000",NULL
"502","0","200","75000","7500","525000","2250000","700",,"0","1",NULL,NULL
"503","0","800","81000","8100","567000","2430000","700",,"0","1",NULL,NULL
"504","0","200","81000","8100","567000","2430000","700",,"0","3",NULL,NULL
"505","0","800","87000","8700","609000","2580000","700",,"0","3","12000",NULL
"506","0","200","86000","8600","602000","2580000","700",,"0","4",NULL,NULL
"507","0","800","91000","9100","637000","2730000","700",,"0","4","10000",NULL
"508","0","200","99000","9900","693000","2970000","700",,"0","5","10000",NULL
"509","0","800","105000","10500","735000","2940000","800",,"1","6","12000",NULL
"510","0","800","70000","7000","490000","1960000","700",,"1","9","10000",NULL
"511","0","800","110000","11000","770000","3300000","700",,"2","5","15000",NULL
"512","0","200","110000","11000","770000","3300000","700",,"2","6","15000",NULL
"513","0","800","115000","11500","805000","3450000","700",,"2","6","15000",NULL
"514","0","200","72500","7250","507500","2172000","600",,"1","0","10000",NULL
"515","0","800","75000","7500","525000","2250000","600",,"1","0","10000",NULL
"516","0","200","80000","8000","560000","2400000","600",,"1","1","10000",NULL
"517","0","800","89000","8900","623000","2670000","600",,"1","1","10000",NULL
"518","0","200","86000","8600","602000","2580000","600",,"1","3","10000",NULL
"519","0","800","91000","9100","637000","2730000","700",,"1","3","10000",NULL
"520","0","200","91000","9100","637000","2730000","700",,"1","4","10000",NULL
"521","0","800","95000","9500","665000","2850000","700",,"1","4","10000",NULL
"522","0","200","100000","10000","700000","3000000","700",,"1","5","10000",NULL
"523","0","800","110000","11000","770000","3300000","700",,"1","5","10000",NULL
"524","0","800","115000","11500","805000","3450000","700",,"1","6","10000",NULL
"525","0","200","79000","7900","540000","1800000","600",,"3","0","19000",NULL
"526","0","800","81500","8150","560000","2030000","600",,"3","0","19000",NULL
"527","0","200","89000","8900","600000","2225000","600",,"3","1","20000",NULL
"528","0","800","94000","9400","620000","2100000","600",,"3","1","20000",NULL
"529","0","200","95000","9500","640000","2375000","600",,"3","3","20000",NULL
"530","0","800","99500","9950","670000","2480000","600",,"3","3","200",NULL
"531","0","200","99000","9900","980000","2470000","600",,"3","4","20000",NULL
"532","0","800","105000","10500","720000","2600000","600",,"3","4","20000",NULL
"533","0","200","110000","11000","750000","2900000","700",,"3","5","25000",NULL
"534","0","800","117000","11700","800000","2900000","700",,"3","5","25000",NULL
"535","0","200","115000","11500","790000","2800000","700",,"3","6",NULL,NULL
"536","0","800","124000","12400","855000","3100000","700",,"3","6","25000",NULL
