"idvehiculo","dominio","clase","marca","modelo","kilometros","estado","propiedad","franquicia_danios","franquicia_vuelco","precio","codigo_radio","foto_path","foto_base_url","venc_rto","venc_matafuego","venc_cverde","km_distribucion","fecha_distribucion","km_aceite","fecha_aceite","nota"
"3","PGY 462","0","CHEVROLET","  CLASSIC 1.4 4PTAS LS","51974","2","0","58000","104400",NULL,"3010","/1/KLx4WIvBjZXQ_v9iSKmMY3TSYq5KzrTa.jpg","http://classicrentacar.com.ar/storage/web/source",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7","OWJ 365","0","CHEVROLET","CLASSIC 1.4 4 PTAS LS","66678","2","0",NULL,NULL,NULL,"1230","/1/Cwh6JQCe_8lBz8E9oUflUX-jrOurZsrK.jpg","http://classicrentacar.com.ar/storage/web/source",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8","PGY 463","0","CHEVROLET","CLASSIC 1.4 4PTAS","37258","2","0","58000","104400",NULL,"4364",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"9","AA 357 QU","0","CHEVROLET ","CLASSIC 1.4 4PTAS ","80000","2","0","150000","350000",NULL,"4742","/1/y_hHjO-PkchNKQc3VRrwd-9_BhQl5J-2.jpg","http://classicrentacar.com.ar/storage/web/source","1669863600","1712977200","1727924400",NULL,NULL,NULL,NULL,"VENDIDO A FEDERICO FROIS FACTURA B 30/9  FC 007- 1726"
"10","PMJ 532","0","CHEVROLET ","CLASSIC 1.4 4PTAS ","80000","2","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"11","NXV 279","0","CHEVROLET ","CLASSIC 1.4 4PTAS ","80000","2","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"12","OAZ 680","2","TOYOTA ","ETIOS 1.5 4PTAS ","50000","1","0","58000","104400",NULL,"0","/1/RP294OqY9i-Q7shvlxtWbrIqiU94qkPD.jpg","http://classicrentacar.com.ar/storage/web/source",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"13","OFY 740","11","TOYOTA ","ETIOS 1.5 4PTAS ","50000","2","0","150000","350000",NULL,"0","/1/XN77VzvgP0RZUVHgHFdNUAXP_ba-iI3D.jpg","http://classicrentacar.com.ar/storage/web/source","1711076400","1678935600","1691118000",NULL,NULL,NULL,NULL,NULL
"14","NVI 434","9","TOYOTA ","COROLLA 1.8 XEI 4 PTAS","50000","0","0","800000","3500000",NULL,"0","/1/ck7mdH2V-LK-XidFvjVNlHvKLIq09S0B.jpg","http://classicrentacar.com.ar/storage/web/source","1742353200","1712977200","1744254000",NULL,NULL,NULL,NULL,NULL
"15","MQQ 220","10","CHEVROLET ","COBALT 1.8 LTZ",NULL,"1","0","150000","350000",NULL,"0","/1/KVF37E3U4tSuvZY1p91vYaOtjiwdtj-Z.jpg","http://classicrentacar.com.ar/storage/web/source","1714878000","1714100400","1716087600",NULL,NULL,NULL,NULL,"ENTREGADO A BEORCHIA ROMINA COMO LIQUIDACIÓN FINAL."
"16","AB 808 EW","6","CHEVROLET ","COBALT 1.8 LTZ AUTOMÁTICO ",NULL,"0","0","1200000","5000000",NULL,"0","/1/uG8tqhcJcvejWhlyhzL63D5nhwGmgOmd.jpg","http://classicrentacar.com.ar/storage/web/source","1776826800","1747278000","1733972400","100000",NULL,"87367","1759806000",NULL
